"name_csv"," predict_var"," drop_feature","nb_features","learning_rate1","learning_rate2"," nb_node_layer1","nb_node_layer2","batch_size"," nb_epochs "," training_size","mape_train","mape_test","time"
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,30,0.15,3.802169253860695,5.894977753119701,21.846301863000008
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,30,0.2,3.6380126884450084,5.627356377308783,26.330688709000015
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,30,0.3,3.4912043809890747,5.273831830076549,32.79883474400003
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,30,0.4,3.5432440188267957,4.977625728949256,38.960482619000004
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,30,0.5,3.422684807103613,4.610594198496446,45.71050606799997
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,30,0.6,3.352349416285321,4.351897401330263,52.72080423400001
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,30,0.7,3.229421994810245,4.142475514308266,59.457110899999975
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,30,0.8,3.2081116426574146,4.002325971489367,66.14771317600002
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,30,0.9,3.1431700466335686,3.9461316310841106,73.56389517100001
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,30,0.95,3.2536244880968868,3.799879571665888,77.09236331300008
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.05,0.025,200,300,50,30,0.9,3.390261431031181,4.381952502157377,78.26005856300026
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.1,0.025,200,300,50,30,0.9,2.9059068511649606,3.8958800279575847,81.02023137300012
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.3,0.025,200,300,50,30,0.9,2.9731977104708767,3.737017141736072,82.61508345399989
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.4,0.025,200,300,50,30,0.9,3.117870247522414,3.894574399875558,85.44743192900023
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.5,0.025,200,300,50,30,0.9,3.1774745376213738,4.030858796575795,87.67373133799993
feature_importanceRF.csv,GZIP-vmlinux,True,500,0.8,0.025,200,300,50,30,0.9,3.2308373999048547,3.839309626299402,89.5946814140002
feature_importanceRF.csv,GZIP-vmlinux,True,500,1,0.025,200,300,50,30,0.9,3.3827813284984534,3.8615256262862165,92.26416231299982
feature_importanceRF.csv,GZIP-vmlinux,True,500,1.5,0.025,200,300,50,30,0.9,28.258269320363585,28.2991026899089,91.8619908300002
