,pvalue,ttest
CLKSRC_MMIO,0.0,-65.18100694296483
COMPILE_TEST,0.0,-65.18100694296483
ROCKCHIP_GRF,0.0,-65.18100694296483
TIMER_OF,0.0,-65.07677905432463
TIMER_PROBE,0.0,-65.07677905432463
STMP_DEVICE,0.0,-59.82267026308762
STRICT_MODULE_RWX,0.0,-53.656772376898914
MODULES,0.0,-53.656772376898914
SOC_BUS,0.0,-49.57101135885234
MTK_INFRACFG,0.0,-49.50090563537524
RENESAS_DMA,0.0,-39.376576447007864
OWL_TIMER,6.640439393114614e-305,-37.46535325790294
ASM9260_TIMER,3.0153170875960175e-303,-37.36189636771073
CLKSRC_PISTACHIO,1.004725506807448e-302,-37.32920508562977
DIGICOLOR_TIMER,1.190683333685839e-302,-37.3245904979137
PRIMA2_TIMER,2.3745364674321637e-301,-37.24317002660834
OXNAS_RPS_TIMER,3.846730107161195e-301,-37.230029656402245
INTEGRATOR_AP_TIMER,1.5717853863847712e-300,-37.191663920413895
MTK_TIMER,1.4894822720197016e-299,-37.13028942668465
SH_TIMER_TMU,9.376898843421865e-299,-37.08000365877502
CLKSRC_DBX500_PRCMU,1.1547780309333536e-298,-37.074307788617475
BCM2835_TIMER,1.8771067178774495e-298,-37.06101630158212
SH_TIMER_CMT,2.5404900183665453e-298,-37.052734536025
ATMEL_ST,3.1795028596919716e-298,-37.04659323780641
MESON6_TIMER,5.245526190403719e-298,-37.03288608874796
CLPS711X_TIMER,1.3639819624655934e-297,-37.006708883669354
VT8500_TIMER,1.4347723619715565e-297,-37.005322357762346
EM_TIMER_STI,2.198132759967948e-297,-36.99363024204936
CLKSRC_ST_LPC,2.926206889276443e-297,-36.98578696988071
ARMV7M_SYSTICK,2.9601739903159473e-297,-36.985470543489754
MXS_TIMER,2.6902652252480406e-296,-36.92491245640961
NSPIRE_TIMER,6.849779270238505e-296,-36.899239209349545
H8300_TPU,8.181852523065152e-296,-36.89435568999084
CLKSRC_PXA,1.4792557774347328e-295,-36.87807647434261
UX500_SOC_ID,2.7593234721978818e-295,-36.860930944138694
CLKSRC_SAMSUNG_PWM,6.232763061579921e-295,-36.838510354097835
AT91_SOC_ID,6.497456868847216e-295,-36.83736559813557
BCM_KONA_TIMER,4.422810508127062e-294,-36.784538319818935
H8300_TMR16,1.0096076062584303e-293,-36.76178194541785
MTK_SCPSYS,1.8627316309708968e-293,-36.74488632060415
SUN4I_TIMER,4.813116280114608e-293,-36.71868449594716
SOC_ZTE,5.802079779066587e-293,-36.713524479746766
RENESAS_OSTM,1.1487716486425412e-292,-36.69465736665246
FTTMR010_TIMER,1.444983698117822e-291,-36.62463808074966
ARC_TIMERS,1.5401094827659907e-291,-36.62287332041441
SOC_SAMSUNG,2.9214964332334873e-291,-36.60514674343688
SH_TIMER_MTU2,1.1923895897533825e-290,-36.56617673353941
SOC_BRCMSTB,1.9810204708256602e-289,-36.48818947170985
SOC_RENESAS,2.1226160160572833e-289,-36.486271576829125
QCOM_EBI2,3.238526054310272e-289,-36.474533002353034
PM_GENERIC_DOMAINS,3.293419530748496e-289,-36.4740659028636
SYSC_RCAR,7.442680602948497e-289,-36.45140148573647
ATLAS7_TIMER,1.7304145709909278e-288,-36.42793289410028
H8300_TMR8,2.721251797789527e-286,-36.28693468755672
FSL_FTM_TIMER,4.936117387444716e-286,-36.27029940690796
ASYNC_TX_ENABLE_CHANNEL_SWITCH,3.3160848791177866e-285,-36.21703816443199
TI_DMA_CROSSBAR,1.0337465397572106e-280,-35.92637021328898
CC_OPTIMIZE_FOR_SIZE,7.212065257125669e-274,-35.479268052828196
GPIO_MB86S7X,6.682303292142292e-268,-35.08493144276836
GPIO_ZX,1.0062440569077435e-266,-35.00658469761755
ARMADA375_USBCLUSTER_PHY,1.0051321578418575e-265,-34.93996181123131
GPIO_MPC8XXX,3.126399252771092e-265,-34.90706735790359
SERIAL_MCTRL_GPIO,1.753183490933579e-262,-34.72303791072678
RESET_LPC18XX,2.8338085882827085e-248,-33.75623262932086
RESET_MESON,1.4355700995034675e-244,-33.49969054944267
RESET_ATH79,1.2352249371377954e-243,-33.43465947189313
RESET_SUNXI,1.361305289737626e-243,-33.431719937356924
RESET_SOCFPGA,3.531614443171805e-243,-33.402873730514216
RESET_BERLIN,9.345045256771451e-243,-33.37340394453353
RESET_ZX2967,1.0067337416628567e-242,-33.37114820402753
RESET_IMX7,8.555315926400225e-242,-33.306250072380145
RESET_ZYNQ,3.2256478820739e-240,-33.19588253416634
RESET_PISTACHIO,1.4536532641506013e-239,-33.14999973500022
RESET_GEMINI,3.6164559815927325e-238,-33.05184165729295
RESET_STM32,1.463761888764337e-237,-33.00905377165541
MEDIA_ATTACH,2.7942114143819404e-234,-32.77691788018273
REGULATOR_STW481X_VMMC,1.2297762734542461e-227,-32.301863588349775
ROCKCHIP_PM_DOMAINS,1.9541009442969817e-220,-31.77911857446509
SLOB,2.951313252509879e-218,-31.61927281679892
MFD_STM32_TIMERS,4.632373811089252e-216,-31.457398277795818
OWL_PM_DOMAINS,1.0147923300581567e-215,-31.43221809590573
OWL_PM_DOMAINS_HELPER,1.0147923300581567e-215,-31.43221809590573
MODULE_SRCVERSION_ALL,1.949597215367056e-210,-31.03902366488518
MODULE_FORCE_LOAD,1.3864802955648996e-209,-30.975164973436588
SG_SPLIT,3.4407204443400615e-209,-30.94553419233425
RESET_HISI,4.574693668908675e-208,-30.861030604886853
MODULE_UNLOAD,7.7778857230589035e-208,-30.843668987277102
MODULE_COMPRESS,7.560474436618425e-207,-30.769166253164347
MODULE_COMPRESS_GZIP,7.560474436618425e-207,-30.769166253164347
COMMON_CLK_IPROC,3.9318765560459608e-205,-30.639300841214624
KPROBES,6.310788503867396e-204,-30.54775079699445
OPTPROBES,6.310788503867396e-204,-30.54775079699445
KRETPROBES,6.310788503867396e-204,-30.54775079699445
IOMMU_IO_PGTABLE,2.4425190641717136e-201,-30.35031271795308
MODULE_SIG,1.2963021715573256e-199,-30.218009601689616
MODULE_SIG_SHA1,1.2963021715573256e-199,-30.218009601689616
SYSTEM_DATA_VERIFICATION,1.2963021715573256e-199,-30.218009601689616
COMMON_CLK_SAMSUNG,1.4943225562143764e-196,-29.981757644923373
COMMON_CLK_MEDIATEK,6.076782014320123e-196,-29.934530259923818
PHY_ST_SPEAR1310_MIPHY,1.450811946928256e-194,-29.827442794780957
OMAP_CONTROL_PHY,2.670131756128329e-194,-29.80681105909932
ATMEL_SSC,3.7532813893883e-194,-29.795288404680925
QCOM_COINCELL,4.74553982727039e-193,-29.709292872995707
PHY_HI6220_USB,5.737619024055142e-193,-29.702848588895034
PHY_RCAR_GEN3_USB3,7.243702515814709e-193,-29.694934299954863
MFD_MXS_LRADC,9.096010588219315e-192,-29.60888748767752
PHY_ST_SPEAR1340_MIPHY,1.1840116198029398e-191,-29.599907273776925
ASPEED_BT_IPMI_BMC,2.6785429052592464e-191,-29.57208484557682
ASPEED_LPC_CTRL,1.1813560882109729e-190,-29.5214439177175
ASPEED_LPC_SNOOP,3.2085028668731314e-190,-29.48730006881097
MFD_MX25_TSADC,2.384742469459314e-189,-29.41863590078426
MFD_EXYNOS_LPASS,2.756558069561437e-189,-29.413669951158862
TS4800_IRQ,4.0945275556032935e-189,-29.400104810481388
PHY_ROCKCHIP_PCIE,5.204623008499727e-189,-29.391877208156405
MODVERSIONS,1.77117138901266e-187,-29.27064280276124
TEE,3.862631713893905e-187,-29.243777313640027
PHY_EXYNOS_MIPI_VIDEO,4.314296622497751e-186,-29.160475863866736
PARMAN,8.447613029669164e-178,-28.493000736855176
PM_GENERIC_DOMAINS_SLEEP,4.268189616028222e-173,-28.10747568161513
GPIO_TS5500,2.0645407644812297e-172,-28.050930809993297
GPIO_ATH79,6.080337915140565e-171,-27.929206913742675
GPIO_CLPS711X,6.497552974990539e-169,-27.76024661855352
GPIO_IOP,1.105316327423359e-168,-27.740966941034948
GPIO_RCAR,5.336146866043486e-165,-27.43136458864157
MV_XOR,5.109643998185582e-152,-26.311886639808844
EP93XX_DMA,1.2178758527662607e-150,-26.190361719266214
EXTCON_QCOM_SPMI_MISC,2.515634108639578e-150,-26.162484334760823
PHY_STIH407_USB,7.505615989891843e-150,-26.120420840743943
COMMON_RESET_HI6220,1.0061696204156498e-149,-26.109131647149937
S3C24XX_DMAC,1.8594380127761274e-148,-25.996521651888028
MMP_PDMA,2.1585381235440666e-148,-25.990750031315187
SH_DMAE_BASE,2.27369073884924e-148,-25.98873863484705
MMP_TDMA,3.208826555435475e-148,-25.975402354406732
MXS_DMA,1.0533929957320083e-147,-25.929333936383674
COMMON_RESET_HI3660,1.896939677225091e-147,-25.906507238095575
NVMEM_VF610_OCOTP,3.069477155399807e-147,-25.887816529220775
REGULATOR_PBIAS,2.3549666533786008e-144,-25.628465496687777
STM32_DMA,8.144625438635005e-144,-25.579733799001527
COH901318,8.253169132866797e-144,-25.57921336588895
NVMEM_LPC18XX_EEPROM,4.765038944760825e-143,-25.51019817775128
TI_EDMA,6.861327398991523e-143,-25.495823491961445
SERIAL_MPS2_UART,3.6758235776098784e-142,-25.429544736474114
FB_TMIO_ACCELL,4.1997552786790035e-142,-25.424275747059724
NVMEM_MXS_OCOTP,5.525277363511434e-142,-25.41342559671868
I2C_RIIC,7.866393600540623e-142,-25.399445528102813
SERIO_SUN4I_PS2,3.6802339070286843e-141,-25.33829587243662
SERIAL_ATMEL,4.336614843066561e-141,-25.331783126161437
QCOM_QFPROM,1.237020146194396e-140,-25.29014825684363
NVMEM_IMX_OCOTP,1.2504364313929538e-140,-25.289719431492777
DEVFREQ_EVENT_EXYNOS_PPMU,1.7996147794993734e-140,-25.27524197923972
CRYPTO_DEV_ATMEL_AES,2.5067416015567636e-140,-25.26205649605702
SERIAL_OWL,9.769930082347592e-140,-25.20786370596668
CRYPTO_DEV_ATMEL_SHA,1.0505902761789473e-139,-25.204967124413482
SERIAL_MVEBU_UART,1.0662241347763218e-139,-25.204377965102708
I2C_SH_MOBILE,2.0923462773942184e-139,-25.17747445176721
MTK_EFUSE,2.5365775735375963e-139,-25.169786061140467
NVMEM_IMX_IIM,2.707649323772876e-139,-25.167179271617297
I2C_UNIPHIER,3.92005049466352e-139,-25.152394925843804
I2C_UNIPHIER_F,1.239246464587425e-138,-25.10635247706277
I2C_AXXIA,1.4191679614487094e-138,-25.100923956818974
I2C_RCAR,1.4480754574461443e-138,-25.100116405121362
NVMEM_BCM_OCOTP,1.8586759013729644e-138,-25.090117174081648
I2C_IMX_LPI2C,4.02355444772961e-138,-25.05915673539053
I2C_JZ4780,5.897565118916264e-138,-25.04381399238934
MFD_STW481X,9.28711685648604e-138,-25.02558168358692
I2C_EFM32,1.0044671230087822e-137,-25.022431921594798
I2C_BRCMSTB,2.6886580885375676e-137,-24.982849574033427
NVMEM_LPC18XX_OTP,3.251630282620943e-137,-24.97519948227104
I2C_MESON,3.7536483551356473e-137,-24.9694207074844
I2C_ASPEED,6.70373011560511e-137,-24.94606484581078
I2C_IMG,7.645811334232125e-137,-24.940766178500972
I2C_MT65XX,2.6495723832484594e-136,-24.890630582222098
DW_APB_TIMER,3.3115888630151805e-136,-24.881623041119667
SERIO_OLPC_APSP,4.352681601751281e-136,-24.87057826877223
I2C_BCM_IPROC,7.545943879005749e-136,-24.848333076836965
I2C_STM32F4,1.0252182226888626e-135,-24.835933646029897
MFD_SUN4I_GPADC,1.3648127622531319e-135,-24.82435278197562
I2C_HIX5HD2,1.450971926967346e-135,-24.82187425396806
I2C_XLP9XX,1.708409077894551e-135,-24.815260201976038
USB_ULPI_VIEWPORT,9.829511885712997e-135,-24.744291370840187
ROCKCHIP_EFUSE,9.883597105856946e-135,-24.744068506166617
I2C_VERSATILE,1.6406400249321798e-133,-24.62970500566717
LEDS_OT200,3.065133512586193e-132,-24.509970990470915
SAMSUNG_MC,2.416853399019799e-131,-24.4251699637248
EXYNOS_PM_DOMAINS,9.603054076505883e-129,-24.177741952129864
SYSC_R8A7794,1.1222815676268722e-128,-24.17126464418178
POWER_RESET_BRCMKONA,1.4020721917841585e-127,-24.066088374439868
ARC_TIMERS_64BIT,1.004537711651715e-126,-23.98375562904411
RST_RCAR,1.766330586895037e-126,-23.96010709233865
ROCKCHIP_MBOX,7.968652956953902e-126,-23.896864209270174
W1_MASTER_MXC,2.550228154670286e-125,-23.847921539344814
IOMMU_IO_PGTABLE_ARMV7S,3.8832929755213723e-125,-23.830205052755595
POWER_RESET_BRCMSTB,5.560511862066208e-125,-23.81506915894838
CLKSRC_DBX500_PRCMU_SCHED_CLOCK,9.997638766809434e-125,-23.790314942608944
SYSC_R8A7745,3.936834808550919e-124,-23.73238252030007
POWER_RESET_KEYSTONE,4.814955379238179e-124,-23.72386023545599
SYSC_R8A7795,8.627657760384342e-124,-23.69915685407567
SYSC_R8A7791,9.550802511972475e-124,-23.69484878668223
SYSC_R8A7790,2.439530528896487e-123,-23.655069390810414
MPC5200_WDT,5.41969638994961e-123,-23.621156864942233
SYSC_R8A7796,8.5087846754505e-123,-23.601972654564957
IOMMU_IO_PGTABLE_LPAE,3.055850143224104e-122,-23.54751070549294
SYSC_R8A7743,8.379858467709941e-122,-23.504452457696384
BCM_KONA_WDT_DEBUG,9.86965821654977e-122,-23.497460610053714
SYSC_R8A7779,9.006544445258777e-121,-23.40278315951395
SYSC_R8A7792,1.6251350234906463e-120,-23.37744607438662
GPIO_TS4900,1.2270438337092751e-116,-22.990773972196365
JCORE_AIC,2.3155345670381897e-116,-22.96303065776076
PHY_EXYNOS_PCIE,1.054079417896367e-115,-22.89668277064596
OMAP3_THERMAL,5.290339974635392e-115,-22.825853530025718
OMAP4_THERMAL,1.694524615818807e-114,-22.77460798197195
DRA752_THERMAL,6.650690269774147e-114,-22.71427124964022
TI_THERMAL,4.4871615078139145e-113,-22.629762487145246
CLKSRC_JCORE_PIT,6.705826783388454e-113,-22.61193845138472
OMAP5_THERMAL,8.152990254618384e-113,-22.603264119938423
OF_ALL_DTBS,2.834458618861162e-112,-22.54787348412725
VMAP_STACK,2.5613091138530297e-111,-22.449692344628982
PM_OPP,6.95323561026524e-110,-22.30164947258022
PWM_MEDIATEK,8.532436288008099e-109,-22.188563599357696
PWM_RCAR,8.640529618990446e-108,-22.083634469118753
PWM_CLPS711X,1.3970026008535063e-107,-22.061797722657193
I2C_SUN6I_P2WI,1.7805823019999576e-107,-22.050762787483166
PWM_MTK_DISP,1.7456157826850449e-106,-21.9466664071013
PWM_HIBVT,2.0430986776192098e-106,-21.93947264825528
PWM_STM32,3.161658160794395e-105,-21.813874296344522
PWM_RENESAS_TPU,5.2466554204846116e-104,-21.68432789283817
TRIM_UNUSED_KSYMS,4.404941508060036e-102,-21.47845037108508
GPIO_TEGRA,4.9657754769804436e-102,-21.472854230506726
GPIO_BCM_KONA,6.549156672695505e-102,-21.459924886498886
PM_GENERIC_DOMAINS_OF,3.077390067886454e-101,-21.387498364445808
GPIO_ETRAXFS,7.840242451038741e-101,-21.34360718787378
DMA_JZ4740,1.1510357032572836e-96,-20.888067199353202
DMA_SA11X0,9.122725753150113e-94,-20.56525652321912
ARM_SCPI_POWER_DOMAIN,1.8415721035091574e-93,-20.530996270261998
AXI_DMAC,1.5785189863231967e-92,-20.425857019843463
MMC_SDHCI_IO_ACCESSORS,1.7628321761784062e-92,-20.420438230715696
NBPFAXI_DMA,1.783550653564019e-92,-20.419864818564694
RCAR_DMAC,2.1676501591525498e-92,-20.41029101595603
XGENE_DMA,3.886985890069909e-92,-20.381598181368986
K3_DMA,6.864262486543373e-92,-20.353618522636197
ZX2967_PM_DOMAINS,6.932949167057304e-92,-20.353128317807553
IMG_MDC_DMA,9.490439278420333e-92,-20.337662964647876
MODULE_SIG_FORCE,2.0630218823028835e-91,-20.299369660425064
CLK_BCM_63XX,2.0770938483976768e-91,-20.29903409410048
RENESAS_USB_DMAC,2.3073925663770643e-91,-20.293842922470603
CLK_BCM_SR,4.823968445900264e-91,-20.257396755078386
ZX_DMA,6.711357269677624e-91,-20.24105709540252
TIMB_DMA,7.581521049653924e-91,-20.235021143460344
DMA_OMAP,9.290723281246605e-91,-20.22495158634852
S3C2412_COMMON_CLK,1.469316678056334e-90,-20.20223059070238
DMA_JZ4780,3.0968674493538117e-90,-20.165217917106652
ARM_EXYNOS_BUS_DEVFREQ,3.8671737494238e-90,-20.154177861303253
CLK_BCM_CYGNUS,7.285399986762136e-90,-20.122667491469002
COMMON_CLK_HI6220,1.3625168601164446e-89,-20.09147250620696
COMMON_CLK_MT2701,1.643315852503674e-89,-20.082126215895872
SUN5I_HSTIMER,1.6559646769296853e-89,-20.08174367561063
COMMON_CLK_MT8173,2.3532356466814468e-89,-20.064204208447837
CLK_BCM_NS2,2.6360379882914486e-89,-20.058536669925058
COMMON_CLK_XGENE,3.805412145061416e-89,-20.04019031305756
S3C2410_COMMON_CLK,5.715710745412051e-89,-20.019843423416347
CADENCE_TTC_TIMER,8.643739563999722e-89,-19.99913436212514
COMMON_CLK_OXNAS,1.326914954011448e-88,-19.977652447070156
COMMON_CLK_VERSATILE,2.7741935060961315e-88,-19.94063506527791
CLK_RENESAS,4.7492291972692427e-88,-19.91360750735796
COMMON_CLK_MT8135,6.59188184382379e-88,-19.897107597152438
CLK_BCM_KONA,9.009775570654724e-88,-19.881369401827367
COMMON_CLK_HI3660,1.0429954838378366e-87,-19.8739928877733
COMMON_CLK_MT6797,1.1703231574855918e-87,-19.86818625228633
SERIAL_ST_ASC,1.250440856478449e-87,-19.864847384847263
SERIAL_TIMBERDALE,1.2953477735390747e-87,-19.863068058286746
CLK_BCM_NSP,1.5410012559173484e-87,-19.854308421901038
IMX7_PM_DOMAINS,8.468288221671147e-87,-19.76815519722401
S3C2443_COMMON_CLK,1.124645581137093e-86,-19.75377337254091
RTC_DRV_XGENE,1.1664139118654282e-86,-19.75192418149319
SERIAL_IMX,1.586200258976047e-86,-19.736328784908626
SIGNED_PE_FILE_VERIFICATION,1.6316332446682333e-86,-19.734895496755104
COMMON_CLK_GEMINI,2.2573482378288654e-86,-19.71841302330177
COMMON_CLK_BOSTON,5.6113477701933305e-86,-19.672103358959255
MFD_SYSCON,1.0470404294780756e-85,-19.640319040387677
SERIAL_SH_SCI,1.2764922290541479e-85,-19.63021159465584
SERIAL_BCM63XX,2.4539360172529934e-85,-19.596836482966687
SERIAL_STM32,2.5011793716237966e-85,-19.59586187228715
SERIAL_CLPS711X,2.5618842397559776e-85,-19.594636167009988
RTC_DRV_NUC900,4.46278510246271e-85,-19.566246160386726
SERIAL_MXS_AUART,7.189125237403723e-85,-19.54182533910865
PKCS7_MESSAGE_PARSER,8.069880064658025e-85,-19.535901522121506
POWER_RESET_ZX,1.0914387745168505e-84,-19.520416208715545
SUNXI_CCU,5.126212650804488e-84,-19.44089332139069
POWER_RESET_RMOBILE,1.42748479657526e-83,-19.388066777313913
RTC_DRV_COH901331,1.671800217152576e-83,-19.37990487854454
RCAR_THERMAL,2.778159929959208e-83,-19.353643455763077
TANGOX_WATCHDOG,5.576722130069243e-83,-19.317555969411952
MODULE_FORCE_UNLOAD,1.0015690468502615e-82,-19.287179089034193
RTC_DRV_DAVINCI,1.3433012080231753e-82,-19.271932068668143
RTC_DRV_VR41XX,1.4838374227602813e-82,-19.266761470020846
CRYPTO_DEV_EXYNOS_RNG,1.6698905622803375e-82,-19.260621238772046
RTC_DRV_PM8XXX,1.6812694869557685e-82,-19.260268179754924
MESON_GXBB_WATCHDOG,5.131371669476316e-82,-19.202170880693686
BCM_NS_THERMAL,5.489262132371913e-82,-19.19865494074049
RTC_DRV_SPEAR,5.646796291894686e-82,-19.197179216500295
RTC_DRV_STM32,7.188120449679632e-82,-19.184587300769234
EXYNOS_ARM64_COMMON_CLK,7.61413366802832e-82,-19.181582059277332
RTC_DRV_S3C,8.525466988257873e-82,-19.175679907502705
SYSTEM_TRUSTED_KEYRING,9.165030527771132e-82,-19.17190240439855
BCM_PDC_MBOX,1.1522626232783095e-81,-19.159943358436873
OMAP_WATCHDOG,1.2353066579046046e-81,-19.15630630384102
RTC_DRV_VT8500,1.9806640262530206e-81,-19.131614377934227
SPI_SH_HSPI,2.3841422554576917e-81,-19.12190880919525
RTC_DRV_TEGRA,2.6411535289081533e-81,-19.11654760080213
RTC_DRV_AT91RM9200,2.8064153678951786e-81,-19.113368590676973
STMP3XXX_RTC_WATCHDOG,3.0072362354872635e-81,-19.109747847944032
CRYPTO_DEV_MEDIATEK,3.231043516053435e-81,-19.10598649944623
MODULE_SIG_ALL,3.2377567073774814e-81,-19.105877732579582
RTC_DRV_AT91SAM9,3.8157145975001103e-81,-19.097268646500396
MOXART_WDT,3.885667270610318e-81,-19.096316192911555
RTC_DRV_ASM9260,4.762818967396052e-81,-19.085641457553315
SIRFSOC_WATCHDOG,5.404225936357586e-81,-19.07901262521184
ARM_SCPI_PROTOCOL,6.54266967016274e-81,-19.068978388473937
RTC_DRV_ARMADA38X,7.41484446449829e-81,-19.06240701192377
RTC_DRV_LPC32XX,7.428752546712351e-81,-19.062308588638345
LPC18XX_WATCHDOG,8.681174914053399e-81,-19.054123993146213
RTC_DRV_SUNXI,8.69893861752526e-81,-19.05401658504373
RTC_DRV_JZ4740,9.887206225659307e-81,-19.04728758425867
TANGO_THERMAL,9.962365379716909e-81,-19.04688952671381
ZX2967_THERMAL,1.0477190207730083e-80,-19.04424086059715
UML_WATCHDOG,1.7031850342308302e-80,-19.018680443227268
RTC_DRV_MV,1.7780502506963554e-80,-19.01641584138469
BCM7038_WDT,1.9374692254647736e-80,-19.011894765131988
DAVINCI_WATCHDOG,2.428561979596659e-80,-18.99999446021251
NUC900_WATCHDOG,2.5196641766790555e-80,-18.9980539130802
RTC_DRV_MOXART,3.0539738201809413e-80,-18.987916620220055
RENESAS_WDT,3.3239829156317662e-80,-18.983449235869063
CRYPTO_DEV_ATMEL_AUTHENC,3.866856553047528e-80,-18.975469589702787
QCOM_APCS_IPC,4.320029991106626e-80,-18.969621913695907
RTC_DRV_STMP,4.339724928219273e-80,-18.969381858018846
SAMA5D4_WATCHDOG,5.909811659245509e-80,-18.95307761400502
RENESAS_RZAWDT,8.02288492626435e-80,-18.936924399060995
TS72XX_WATCHDOG,9.266388240941174e-80,-18.92930526139303
MV64X60_WDT,9.686552116204245e-80,-18.926959892701444
AT32AP700X_WDT,1.0656699831927634e-79,-18.921910622528074
RTC_DRV_DIGICOLOR,1.068983729521582e-79,-18.92174636216499
SPI_XTENSA_XTFPGA,1.1409408205022851e-79,-18.918299442179787
SUNXI_WATCHDOG,1.1515878668065609e-79,-18.917807919465844
IMX2_WDT,1.781236451485883e-79,-18.894713068215232
SPI_LP8841_RTC,2.096447810924415e-79,-18.886078475640424
CRYPTO_DEV_IMGTEC_HASH,2.4241694057100963e-79,-18.87837816388089
TEGRA_WATCHDOG,2.6411196538380807e-79,-18.873832481152554
DIGICOLOR_WATCHDOG,3.2372665896158924e-79,-18.863034504791198
RTC_DRV_AT32AP700X,5.047564614288151e-79,-18.839447764179397
FB_CLPS711X,5.85283832350518e-79,-18.831581058637198
RTC_DRV_GENERIC,6.292797363073175e-79,-18.827727913308955
TI_SOC_THERMAL,7.779695032430148e-79,-18.81644711908395
MEDIATEK_WATCHDOG,8.031554301511978e-79,-18.814752071758495
IMGPDC_WDT,1.0685499805024008e-78,-18.799555820714
FB_TMIO,1.336266006249697e-78,-18.787647486491394
QCOM_WDT,1.445180955191779e-78,-18.78347228988345
SPI_FSL_DSPI,1.491866750287368e-78,-18.781777891995407
BCM47XX_WDT,2.073013623186543e-78,-18.764236754451986
BCM_KONA_WDT,2.328302082712264e-78,-18.758040460526054
AT91SAM9X_WATCHDOG,2.6324109407848697e-78,-18.75148850212488
SPI_ORION,3.1732222509421815e-78,-18.741511794682932
CRYPTO_DEV_QCE,4.392753403957422e-78,-18.724134785248864
CRYPTO_DEV_ATMEL_TDES,5.025939597360367e-78,-18.7169349846478
SPI_RSPI,5.729300285933191e-78,-18.70992906677941
SPI_ATMEL,8.084791028715246e-78,-18.691495886437853
ATLAS7_WATCHDOG,9.401058015203254e-78,-18.683416810783868
AT91RM9200_WATCHDOG,1.9527743793115524e-77,-18.64421372165145
SPI_TI_QSPI,2.1397299371541904e-77,-18.639304835146252
EP93XX_WATCHDOG,2.1822054794256095e-77,-18.63824929541438
RTC_DRV_EP93XX,4.055918073356429e-77,-18.60493385163921
SPI_MESON_SPICC,4.717106618265159e-77,-18.596807928380134
S3C2410_WATCHDOG,5.781324315761787e-77,-18.585855949486362
CRYPTO_DEV_S5P,9.705205301025462e-77,-18.557939182848493
SPI_IMX,1.2382525486963958e-76,-18.544795882764546
ASPEED_WATCHDOG,1.5837558037692915e-76,-18.531509767703515
SPI_STM32,1.7007601347831995e-76,-18.527660018118546
SPI_ARMADA_3700,1.7357499842752523e-76,-18.526559962070863
SPI_MT65XX,2.003289923397292e-76,-18.518814469734963
MESON_WATCHDOG,2.0113727982997452e-76,-18.518596855551625
SPI_SUN4I,2.118703306548562e-76,-18.515787104905893
SPI_IMG_SPFI,2.369476748270609e-76,-18.50973967012941
SC520_WDT,3.0706983046124545e-76,-18.49571783677262
SPI_EP93XX,4.062233623125328e-76,-18.480570410461247
SPI_XLP,5.827284758462682e-76,-18.461020783016203
SPI_BCM2835AUX,6.282329503081556e-76,-18.45694432853436
SPI_OMAP24XX,6.671033135127524e-76,-18.453688917180244
SPI_SH,8.828436295519276e-76,-18.438487054322035
SPI_ST_SSC4,1.1143961963270675e-75,-18.42584102934533
SPI_PIC32,1.2629869234240151e-75,-18.41904175510202
SPI_CLPS711X,1.2695001975378693e-75,-18.418762282676152
SPI_FSL_LPSPI,1.4304083460152907e-75,-18.412277303729237
SPI_BCM63XX,1.5473493688366111e-75,-18.40800570213998
SPI_MESON_SPIFC,2.4065685135947517e-75,-18.38398001009441
PHY_NS2_USB_DRD,3.1371542876882826e-75,-18.369543219732968
SPI_BCM_QSPI,3.5972918616476673e-75,-18.3620858442881
SPI_OMAP_100K,3.87062503370269e-75,-18.358094276409837
SPI_LANTIQ_SSC,5.300142803401068e-75,-18.34095303491118
SPI_BCM63XX_HSSPI,6.658273957116317e-75,-18.328502303481514
SPI_PIC32_SQI,1.0730863655829984e-74,-18.302427077363845
DMA_SUN6I,1.1612730151861958e-74,-18.298108597783322
PHY_ROCKCHIP_TYPEC,1.4347486925455444e-74,-18.286540388151867
PHY_CYGNUS_PCIE,2.1663970067605686e-74,-18.263977819388003
PHY_LPC18XX_USB_OTG,4.314202039206385e-74,-18.226199517310608
SPI_S3C64XX,5.4953321580361296e-74,-18.21290993417111
SPI_BCM2835,1.0081210393566312e-73,-18.17954454080189
IIO_STM32_TIMER_TRIGGER,3.546478243651659e-73,-18.110183546667603
PHY_XGENE,4.984213179372196e-72,-17.963588066019284
PHY_EXYNOS_DP_VIDEO,8.565561573980317e-72,-17.93340785879641
PHY_BRCM_SATA,7.546810617259213e-71,-17.81161720849014
USB_MTU3_DEBUG,2.635490571069705e-70,-17.741250493164166
DEVFREQ_EVENT_EXYNOS_NOCP,4.031092627056912e-70,-17.717274939636628
KPROBES_SANITY_TEST,4.2668959570380645e-70,-17.714065234966547
PHY_BCM_NS_USB2,6.870896728599641e-70,-17.68714463437312
MFD_HI655X_PMIC,1.3327776933676243e-68,-17.518674329498175
SPI_TXX9,5.124738793950115e-68,-17.441622051352727
SERIAL_MPS2_UART_CONSOLE,1.0977084106768676e-67,-17.397893771234333
FB_GEODE,1.2195060537489784e-67,-17.39184486137815
SERIAL_ATMEL_TTYAT,2.2088308876982083e-67,-17.357657209113004
ROCKCHIP_THERMAL,1.1515968595082633e-66,-17.262270075101892
USB_MTU3_DUAL_ROLE,1.2702551906122495e-66,-17.256588705530028
