,pvalue,ttest
DYNAMIC_FTRACE_WITH_REGS,1.1551599451476562e-12,7.1116194850871315
DYNAMIC_FTRACE,1.1551599451476562e-12,7.1116194850871315
BT_HCIUART_BCM,1.0775020183444494e-12,7.12122135701726
RING_BUFFER_STARTUP_TEST,1.0653263582714909e-12,7.122788106826762
MFD_AAT2870_CORE,1.030347335447077e-12,7.127388904841518
AFS_FSCACHE,9.997710715159503e-13,7.131537948582458
BT_HCIUART_LL,9.807119755423161e-13,7.134187652448186
IWLWIFI_LEDS,9.63757013558055e-13,7.13658765418932
I2C_MUX_GPMUX,9.617603062494813e-13,7.136873014252885
QCA7000_SPI,8.773705871836511e-13,7.14949797130021
TULIP_MMIO,8.720540045421276e-13,7.150332791070264
FB_CMDLINE,7.690762271247628e-13,7.167571197951571
B43LEGACY_HWRNG,7.447953159106506e-13,7.171965676136443
MEDIA_TUNER_MSI001,7.407663542930465e-13,7.172708434871225
DVB_NXT6000,7.365836153400388e-13,7.173483750465111
SCHED_MC,7.014210946553404e-13,7.180177793255436
GPIO_GPIO_MM,6.41762058675624e-13,7.192327341227261
DM_DEBUG_BLOCK_MANAGER_LOCKING,6.378604173107183e-13,7.19316010597812
VIDEO_ADV7183,5.952645001012342e-13,7.202591822797623
PMIC_ADP5520,5.80615312021131e-13,7.205989306205978
TRACE_IRQFLAGS,5.523113736278373e-13,7.212798933390523
RING_BUFFER,5.518003678486046e-13,7.212924999817031
WATCHDOG_PRETIMEOUT_GOV_NOOP,5.504269653904656e-13,7.213264390560192
CLS_U32_PERF,5.489618980993813e-13,7.213627350960088
GPIO_INTEL_MID,5.327965022902456e-13,7.217696584226786
AMD_XGBE_DCB,5.277123897652588e-13,7.219001470086464
MPILIB,5.047093140873532e-13,7.225064022113784
HOTPLUG_PCI_PCIE,4.762247729250524e-13,7.232958838965227
GPIO_104_IDIO_16,4.58096098821097e-13,7.238228638229627
IPV6_MROUTE_MULTIPLE_TABLES,4.578620692379157e-13,7.2382979984208715
MFD_MAX8925,4.5055018169282303e-13,7.240482769184811
BOUNCE,4.381345219761743e-13,7.244273540571013
SERIAL_CONEXANT_DIGICOLOR_CONSOLE,4.170058084842092e-13,7.250973901479174
DVB_USB_AF9005,3.9327280708276045e-13,7.258909764004084
BT_HS,3.753040013131179e-13,7.265237543100924
EDAC_SKX,3.736089996210077e-13,7.265849723910118
CFG80211_REG_RELAX_NO_IR,3.7208126215882817e-13,7.2664038357907295
DVB_B2C2_FLEXCOP_PCI_DEBUG,3.632125927851555e-13,7.269665319856872
VIDEO_ADV7393,3.629492347318099e-13,7.269763362071914
COMMON_CLK_MAX77686,3.3444015174222233e-13,7.280812515352223
SND_HDA_PATCH_LOADER,3.112119908582239e-13,7.290521765179847
DVB_LGS8GL5,3.065591717273823e-13,7.29255197746649
STACK_TRACER,3.0124999080544144e-13,7.294905889010656
NVM_DEBUG,2.804355934739104e-13,7.304544969639381
DMARD06,2.7699338348652906e-13,7.306206483112644
IPVLAN,2.709665304500817e-13,7.309165022972786
VIDEO_CX23885,2.615103745871254e-13,7.313939832217403
ATH5K_DEBUG,2.4089176975313987e-13,7.324967809506413
SND_PCM_ELD,2.227331139427947e-13,7.335476953864241
INTEL_SCU_WATCHDOG,2.1912991926414864e-13,7.337662073625485
BT_HCIUART_AG6XX,2.1723697562345335e-13,7.338824214042955
IP_PIMSM_V1,2.1615674873335768e-13,7.339491867380484
KVM_COMPAT,2.1309806623091312e-13,7.341400273527854
MAC_PARTITION,2.0535820134061339e-13,7.346352281288618
DVB_USB_DIGITV,2.0245947097312103e-13,7.348254244409916
BOOTPARAM_HOTPLUG_CPU0,2.0000676415815722e-13,7.349884568144352
IP_VS_PROTO_TCP,1.9982665407837054e-13,7.350005061010767
BXT_WC_PMIC_OPREGION,1.9436244718510472e-13,7.353712240587981
USB_MOUSE,1.9412300052214605e-13,7.353877025346813
DEBUG_VIRTUAL,1.8989441836378525e-13,7.356820469540699
MFD_TPS6586X,1.7563036908124561e-13,7.367247491669369
XEN_SCSI_FRONTEND,1.724542576976338e-13,7.369682333304847
SCSI_OSD_DEBUG,1.662191973735172e-13,7.374593079789251
SECURITY_SMACK_BRINGUP,1.4539760944983963e-13,7.392414151119726
IIO_ST_ACCEL_SPI_3AXIS,1.4480769713261213e-13,7.3929548495430275
MWIFIEX_USB,1.3834810406216247e-13,7.399021376937017
DVB_SP887X,1.3427965639305735e-13,7.402986820815759
DVB_USB_AZ6027,1.2967390578062907e-13,7.40762101683397
DEBUG_OBJECTS_TIMERS,1.2370088183131458e-13,7.413877936569047
RT2X00_LIB_LEDS,1.2349256070618273e-13,7.414101480281401
NFC_SHDLC,1.230095559153952e-13,7.414621208522131
HSU_DMA_PCI,1.198257042976158e-13,7.418098154560739
RMI4_F54,1.1099199074176477e-13,7.428242721673666
BT_HCIUART_QCA,1.0628543974093544e-13,7.433976686475511
EXT2_FS_SECURITY,1.0612487878172935e-13,7.434176670808357
TUN_VNET_CROSS_LE,1.0032269596870539e-13,7.441610495513411
SND_VMASTER,9.262173143211702e-14,7.452158088835642
XEN_WDT,9.245895699774764e-14,7.452390218957363
EXT3_FS_SECURITY,8.919558988647393e-14,7.457130813201046
MFD_TPS65910,8.670283543253076e-14,7.460868256475002
DVB_S921,8.634848676704845e-14,7.461408095449637
CRYPTO_AKCIPHER,8.269604670988436e-14,7.467102943098195
NET_ACT_IPT,7.816438355874131e-14,7.474522663940336
GIGASET_CAPI,7.730513735021909e-14,7.475977091120647
RTC_DRV_TWL4030,7.425509741693964e-14,7.481271345268331
BT_HCIBTUSB_BCM,6.943607294179009e-14,7.490088374382703
CW1200_WLAN_SDIO,6.876582347028691e-14,7.491362093164109
VIDEO_OV2640,6.845210651167082e-14,7.491962468833481
CYZ_INTR,6.619523909256513e-14,7.496362990094201
ULTRIX_PARTITION,6.617959172388251e-14,7.49639401190005
I2C_SI470X,6.568064291617439e-14,7.497387006165431
HWPOISON_INJECT,6.240629514969148e-14,7.504093595685013
GCOV_KERNEL,5.69630991314002e-14,7.516047996665068
GCOV_FORMAT_AUTODETECT,5.69630991314002e-14,7.516047996665068
USB_CONFIGFS_NCM,5.335641920590326e-14,7.524604631631182
IPV6_ROUTE_INFO,5.097489087510589e-14,7.530572297179061
USB_DWC2_DUAL_ROLE,4.979299958964141e-14,7.533636457907621
B43LEGACY_DMA_AND_PIO_MODE,4.597922442568396e-14,7.544035817385359
B43LEGACY_DMA,4.597922442568396e-14,7.544035817385359
B43LEGACY_PIO,4.597922442568396e-14,7.544035817385359
IRQSOFF_TRACER,4.420564609623745e-14,7.549164455420856
BLK_DEV_IDE_SATA,4.167825406637727e-14,7.556833829080498
X86_NUMACHIP,4.0276496147637584e-14,7.561287090333044
USB_AN2720,4.0252251660822776e-14,7.561365446502313
SERIAL_DEV_CTRL_TTYPORT,3.929167108682304e-14,7.564507905732945
CLS_U32_MARK,3.848704477485257e-14,7.567198875681656
SSB_BLOCKIO,3.829777463986819e-14,7.567839900840877
B43_SSB,3.829777463986819e-14,7.567839900840877
B43_BCMA,3.829777463986819e-14,7.567839900840877
B43_BUSES_BCMA_AND_SSB,3.829777463986819e-14,7.567839900840877
B43_BCMA_PIO,3.829777463986819e-14,7.567839900840877
B43_PIO,3.829777463986819e-14,7.567839900840877
BCMA_BLOCKIO,3.829777463986819e-14,7.567839900840877
DVB_USB_DIBUSB_MB,3.785938463097211e-14,7.569336697798061
PCIEASPM_DEBUG,3.74543978795336e-14,7.570734669747585
SERIAL_SCCNXP_CONSOLE,3.595692482620217e-14,7.576036165491516
CRYPTO_ABLK_HELPER,3.567891154633536e-14,7.577044268140995
SND_PCSP,3.559942104894032e-14,7.577333928644711
MUX_GPIO,3.459796430771674e-14,7.581038700809604
IP_VS_PROTO_AH,3.4315833570174127e-14,7.58210146132628
USB_ALI_M5632,3.4249723356948413e-14,7.582351734959526
NET_CLS_IND,3.185831229284359e-14,7.591739780542255
USB_KBD,3.119281854922848e-14,7.594475789862874
NETFILTER_INGRESS,3.080649283515182e-14,7.596090529293393
HISAX_TELES_CS,3.0140279850318697e-14,7.598922487701963
DVB_USB_LME2510,2.992147956297714e-14,7.5998660153716875
V4L2_FWNODE,2.8071575842126814e-14,7.6081258092914466
USB_KC2190,2.7609436205767973e-14,7.610272836485783
B43_HWRNG,2.5718992380956975e-14,7.619440030231804
SECURITY_INFINIBAND,2.4003468351238414e-14,7.628351878964561
SECURITY_APPARMOR,2.3682631735094925e-14,7.630087906902309
DVB_ASCOT2E,2.3287815648232776e-14,7.632256264756452
NTFS_RW,2.307854720838554e-14,7.633420290416544
NF_CONNTRACK_EVENTS,2.2675009390287292e-14,7.635694523438607
VSOCKMON,2.256803489629936e-14,7.636304080315013
USB_CONFIGFS_EEM,2.0236577658341204e-14,7.650346732918341
B43_LEDS,1.9276553077240233e-14,7.656597760241163
QEDF,1.9192551988173558e-14,7.657159210939632
VIDEO_AK881X,1.8705181799985074e-14,7.660465202150598
PCMCIA_ATMEL,1.7913712143539357e-14,7.666018945696991
MFD_WM8350,1.5237089427047838e-14,7.686773250305047
MFD_WM8350_I2C,1.5237089427047838e-14,7.686773250305047
NF_CONNTRACK_PROCFS,1.474236555132122e-14,7.69099958772305
CRC_PMIC_OPREGION,1.4272901259596867e-14,7.6951412141975215
MEDIA_TUNER_MT2266,1.3819567452831184e-14,7.699269760376016
HISAX_ELSA,1.2657091851895232e-14,7.710498014698632
ATARI_PARTITION,1.1347414360798933e-14,7.724433743729954
104_QUAD_8,1.0922281017281653e-14,7.729299817166975
CPU_IDLE_GOV_MENU,1.0650439122026821e-14,7.732510000866952
WIL6210_ISR_COR,1.0461158143116009e-14,7.734793199193126
ASN1,1.0439653730109609e-14,7.735055163157508
SPI_SLAVE_SYSTEM_CONTROL,1.0214059048246677e-14,7.737835787401438
NCPFS_STRONG,1.0176074333494413e-14,7.7383099149726355
CPCAP_ADC,1.0089091671278369e-14,7.739402231645541
DVB_AV7110_OSD,1.0059620354184897e-14,7.7397744314686125
DEBUG_HOTPLUG_CPU0,9.740459113678718e-15,7.743875367376744
MAC80211_MESH,9.405563721964538e-15,7.7483231652765525
SECURITY_TOMOYO,9.368262746456832e-15,7.748828179665009
LIBERTAS_USB,9.157666163628626e-15,7.751717088109522
NET_EMATCH_IPSET,8.955872166640873e-15,7.754547252067656
REISERFS_CHECK,8.762491044969161e-15,7.757318941505839
DVB_MB86A16,8.512185134437143e-15,7.7609972967932945
IPW2200_QOS,8.269139344797792e-15,7.764672278450324
IDE_GD_ATA,7.975295246504992e-15,7.769260020765322
NF_CT_PROTO_UDPLITE,7.895333524328597e-15,7.770537260006706
DVB_AU8522_V4L,7.440350997477159e-15,7.778056287788179
NF_NAT_SNMP_BASIC,7.26308932964483e-15,7.781108915343755
RADIO_TEA5764_XTAL,7.165175775934697e-15,7.782826678929533
USB_SI470X,6.8727721168521715e-15,7.788097536406065
DVB_OR51132,6.694930252505159e-15,7.791412357321723
ACENIC_OMIT_TIGON_I,6.666310292549546e-15,7.791953892084304
DVB_USB_CXUSB,6.659247587314762e-15,7.7920878816354655
RTC_DRV_DS1305,6.587319076397272e-15,7.793460489779567
DRBD_FAULT_INJECTION,6.334232530099322e-15,7.7984102477678015
ATH9K_COMMON_DEBUG,6.2592644049634496e-15,7.7999138586671
IPDDP_ENCAP,6.214789457315829e-15,7.800814278172958
LEDS_TRIGGERS,5.991619217137445e-15,7.805430464470659
LIBERTAS_SPI,5.754157752970694e-15,7.810531934767307
IPX_INTERN,5.586377031335372e-15,7.8142629517025535
DVB_DIB3000MB,5.248455969966892e-15,7.822124516908374
SERIAL_ARC_CONSOLE,5.2392804061715674e-15,7.822344864800586
HIBERNATION,4.965309938145187e-15,7.829105425612824
ARCH_HIBERNATION_HEADER,4.965309938145187e-15,7.829105425612824
ATA_VERBOSE_ERROR,4.082907248220447e-15,7.853687303893717
BEFS_DEBUG,4.068447735623767e-15,7.854132326762895
SECURITY_SMACK,3.971800299471054e-15,7.857147464681119
NCPFS_NLS,3.824898957540168e-15,7.8618716245409725
IP_NF_TARGET_NETMAP,3.770551103664908e-15,7.863664788992237
MFD_AS3711,3.717871535139152e-15,7.865427364523511
DVB_LGS8GXX,3.522689084476969e-15,7.872179401939157
NF_CONNTRACK_TIMEOUT,3.5133868862275905e-15,7.872510325020663
ATM_ENI_BURST_RX_16W,3.472038141646718e-15,7.873991812119621
VIDEO_CS3308,2.947665655518481e-15,7.894453007231742
RT73USB,2.8735119330665856e-15,7.897632462234535
HAVE_KVM_IRQ_BYPASS,2.819507986137526e-15,7.899999227313161
KVM_GENERIC_DIRTYLOG_READ_PROTECT,2.819507986137526e-15,7.899999227313161
KVM_MMIO,2.819507986137526e-15,7.899999227313161
USER_RETURN_NOTIFIER,2.819507986137526e-15,7.899999227313161
PREEMPT_NOTIFIERS,2.819507986137526e-15,7.899999227313161
HAVE_KVM_EVENTFD,2.819507986137526e-15,7.899999227313161
KVM_VFIO,2.819507986137526e-15,7.899999227313161
HAVE_KVM_IRQ_ROUTING,2.819507986137526e-15,7.899999227313161
HAVE_KVM_CPU_RELAX_INTERCEPT,2.819507986137526e-15,7.899999227313161
KVM_ASYNC_PF,2.819507986137526e-15,7.899999227313161
HAVE_KVM_IRQCHIP,2.819507986137526e-15,7.899999227313161
HAVE_KVM_IRQFD,2.819507986137526e-15,7.899999227313161
HAVE_KVM_MSI,2.819507986137526e-15,7.899999227313161
DVB_USB_DTV5100,2.7992338115029595e-15,7.900899301511946
SYNC_FILE,2.694030015542032e-15,7.905675421628832
NF_NAT_PROTO_UDPLITE,2.656782807495204e-15,7.907410538992346
DVB_USB_OPERA1,2.589177810278342e-15,7.910621936585732
KMEMCHECK_ONESHOT_BY_DEFAULT,2.5789318569902483e-15,7.911115836461416
KMEMCHECK,2.5789318569902483e-15,7.911115836461416
USB_MUSB_DUAL_ROLE,2.508719103719985e-15,7.914553310382649
RTC_DRV_R7301,2.434102853969809e-15,7.918311799320908
