,size,MAPE train,MAPE test
0,200,64.86354625701904,64.77163624572755
1,500,30.359471271514895,31.225141313406134
2,750,29.94385913127178,30.710470065777123
3,1000,22.608201768875123,25.15325047272902
4,2000,20.16785894012451,22.583380169795113
5,5000,14.200327488327028,16.891215717168954
6,10000,6.347668814301491,11.839528502684372
7,20000,4.831202860057353,9.432103346677929
8,40000,3.7669902910590176,6.953905339241028
9,58500,3.5307117611016983,5.905786188565767
