count,mean,std,min,25%,50%,75%,max,criterion,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,random_state,max_leaf_nodes,min_impurity_decrease,min_impurity_split,n_estimators,n_jobs,random_id,train_size,nb_yes
461855.0,55.53655610608132,82.92197452350055,7.341281493503079e-05,14.718696715193325,32.93311689825105,62.92021308784284,2280.410546525306,mse,23,2,1,0.0,auto,,,1e-07,0,10,-1,0.013869413180221724,100.0,1.0
441050.0,16.481067659865968,22.435467306912184,0.00026013182101093294,4.889173266083263,10.656202608807481,19.76723396728729,920.0962400176325,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,4261.0,1.0
420245.0,13.906896869712893,18.494751811659786,6.901252630686187e-05,4.348811315582212,9.39758353570376,17.138073406219263,1062.1654913389755,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,8422.0,1.0
399440.0,12.646947735002998,14.787734827330969,8.354710367975795e-05,4.123078503025903,8.907081884455945,16.1507860098146,490.16872744641205,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,12583.0,1.0
378635.0,11.906167410324779,13.80617357940306,4.58594111013971e-05,3.9298222254214323,8.489881657387079,15.340194082804732,453.6762093648867,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,16744.0,1.0
357830.0,11.39001673374815,12.582554152695327,1.2426740915604052e-05,3.8470517379229516,8.286115948753284,14.90316658587802,919.9007538264342,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,20905.0,1.0
337025.0,11.019507822629851,11.74402188311092,4.092180456973792e-05,3.760616351954598,8.091126807897883,14.520804812489255,436.3131795198714,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,25066.0,1.0
316220.0,10.66094133217288,10.982104644946169,3.3319748024156977e-05,3.6539440613498595,7.893656829919985,14.151857433455422,294.7686710461484,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,29227.0,1.0
295415.0,10.531522514311131,10.91654707105896,0.00011088221587437437,3.602616558652473,7.795059407324663,14.00988388929269,328.7597628141524,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,33388.0,1.0
274610.0,10.230295222215373,10.316416192851829,6.199207807180504e-05,3.5408963644865157,7.645484362642685,13.696241152663498,301.5232060955686,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,37549.0,1.0
253805.0,10.135867946263325,10.336445022132361,5.933874521173452e-05,3.5137465996643393,7.559664159167932,13.558372013676085,535.5395495248433,mse,23,2,1,0.0,auto,None,None,1e-07,0,10,-1,0.013869413180221724,41710.0,1.0
